Date,Bitcoin
2011-08,10000
2011-09,6025
2011-10,4125
2011-11,3987.5
2011-12,5725
2012-01,6625
2012-02,6237.5
2012-03,6125
2012-04,6250
2012-05,6462.5
2012-06,8262.500000000002
2012-07,11600
2012-08,12700
2012-09,15275
2012-10,13749.999999999998
2012-11,15537.5
2012-12,16550
2013-01,25575
2013-02,41912.5
2013-03,120187.5
2013-04,174850
2013-05,159887.5
2013-06,111912.5
2013-07,122850
2013-08,160000
2013-09,157812.5
2013-10,254424.99999999994
2013-11,1399400
2013-12,915000
2014-01,1003750
2014-02,689862.5
2014-03,568537.5
2014-04,561062.5
2014-05,784750
2014-06,801387.5
2014-07,727550
2014-08,598800
2014-09,488862.49999999994
2014-10,422487.50000000006
2014-11,471262.5
2014-12,401250
2015-01,271125
2015-02,316837.5
2015-03,305300
2015-04,295250
2015-05,286137.5
2015-06,328125
2015-07,355412.4999999999
2015-08,287325
2015-09,295250
2015-10,387725
2015-11,470887.5
2015-12,538612.5
2016-01,460612.5
2016-02,544037.5
2016-03,518325.00000000006
2016-04,560462.5
2016-05,664800
2016-06,834937.5
2016-07,779787.5
2016-08,713437.5
2016-09,760287.5
2016-10,871262.5
2016-11,927574.9999999999
2016-12,1207875
2017-01,1204987.5
2017-02,1489012.5
2017-03,1337887.5
2017-04,1687762.5
2017-05,2872512.5000000005
2017-06,3081862.4999999995
2017-07,3569762.5
2017-08,5917825
2017-09,5407612.5
2017-10,8042762.5
2017-11,12434587.5
2017-12,17350000
2018-01,12686250
2018-02,12893625
2018-03,8660775
2018-04,11552712.5
2018-05,9365350
2018-06,7982137.5
2018-07,9656787.5
2018-08,8771687.5
2018-09,8247262.500000002
2018-10,7879087.500000001
2018-11,4963825
2018-12,4616625.000000001
2019-01,4266387.5
2019-02,4739200
2019-03,5120100
2019-04,6586250.000000001
2019-05,10684000
2019-06,13450125
2019-07,12606675
2019-08,11992687.5
2019-09,10373062.5
2019-10,11437587.499999998
2019-11,9438337.5
2019-12,8960450
2020-01,11659812.5
2020-02,10659675
2020-03,8026425
2020-04,10784150
2020-05,11807737.5
2020-06,11416199.999999998
2020-07,14195924.999999998
2020-08,14568750
2020-09,13472775
2020-10,17270100
2020-11,24625237.5
2020-12,36240987.5
2021-01,41426725
2021-02,56551200
2021-03,73478225
2021-04,72219087.5
2021-05,46676762.50000001
2021-06,43796537.50000001
2021-07,51862662.5
2021-08,58945112.49999999
2021-09,54793037.5
2021-10,76699300
2021-11,71217650
2021-12,57767962.5
2022-01,48114900
2022-02,53973725.00000001
2022-03,56896587.49999999
2022-04,47049750
2022-05,39703450
2022-06,24906112.5
2022-07,29153162.5
2022-08,25073750
2022-09,24281250
2022-10,25622500
2022-11,21462500
2022-12,20660000
2023-01,28908750
2023-02,28919999.999999996
2023-03,35595000
2023-04,36543750
2023-05,34023749.99999999
2023-06,38086250
2023-07,36538750
2023-08,32415000
2023-09,33707500
2023-10,43326250
2023-11,47148750
2023-12,52822500