Date,Brazil Bovespa
1993-05,34.900001525878906
1993-06,53.70000076293945
1993-07,65.5999984741211
1993-08,96.4000015258789
1993-09,146.60000610351562
1993-10,184.39999389648438
1993-11,274.0
1993-12,375.5
1994-01,740.5999755859375
1994-02,1053.9000244140625
1994-03,1515.5999755859375
1994-04,1708.4000244140625
1994-05,2467.199951171875
1994-06,3623.199951171875
1994-07,4201.2998046875
1994-08,5329.5
1994-09,5484.0
1994-10,4797.89990234375
1994-11,4656.0
1994-12,4353.89990234375
1995-01,3885.0
1995-02,3270.89990234375
1995-03,2979.0
1995-04,3813.699951171875
1995-05,3720.60009765625
1995-06,3603.39990234375
1995-07,3877.5
1995-08,4310.5
1995-09,4670.10009765625
1995-10,4128.39990234375
1995-11,4378.60009765625
1995-12,4299.0
1996-01,5151.5
1996-02,4957.7001953125
1996-03,4954.89990234375
1996-04,5164.10009765625
1996-05,5728.0
1996-06,6043.89990234375
1996-07,6123.2998046875
1996-08,6259.39990234375
1996-09,6446.89990234375
1996-10,6533.2001953125
1996-11,6666.10009765625
1996-12,7039.89990234375
1997-01,7964.7001953125
1997-02,8828.7001953125
1997-03,9044.0
1997-04,9982.0
1997-05,11345.0
1997-06,12568.0
1997-07,12872.0
1997-08,10609.0
1997-09,11797.0
1997-10,8986.0
1997-11,9395.0
1997-12,10197.0
1998-01,9720.0
1998-02,10571.0
1998-03,11947.0
1998-04,11677.0
1998-05,9847.0
1998-06,9678.0
1998-07,10707.0
1998-08,6472.0
1998-09,6593.0
1998-10,7047.0
1998-11,8631.0
1998-12,6784.0
1999-01,8172.0
1999-02,8911.0
1999-03,10696.0
1999-04,11351.0
1999-05,11090.0
1999-06,11627.0
1999-07,10442.0
1999-08,10565.0
1999-09,11106.0
1999-10,11700.0
1999-11,13779.0
1999-12,17092.0
2000-01,16388.0
2000-02,17660.0
2000-03,17820.0
2000-04,15538.0
2000-05,14957.0
2000-06,16728.0
2000-07,16455.0
2000-08,17347.0
2000-09,15928.0
2000-10,14867.0
2000-11,13287.0
2000-12,15259.0
2001-01,17673.0
2001-02,15891.0
2001-03,14438.0
2001-04,14918.0
2001-05,14650.0
2001-06,14560.0
2001-07,13754.0
2001-08,12841.0
2001-09,10636.0
2001-10,11365.0
2001-11,12932.0
2001-12,13578.0
2002-01,12721.0
2002-02,14033.0
2002-03,13255.0
2002-04,13085.0
2002-05,12861.0
2002-06,11139.0
2002-07,9763.0
2002-08,10382.0
2002-09,8623.0
2002-10,10168.0
2002-11,10509.0
2002-12,11268.0
2003-01,10941.0
2003-02,10281.0
2003-03,11274.0
2003-04,12557.0
2003-05,13422.0
2003-06,12973.0
2003-07,13572.0
2003-08,15174.0
2003-09,16011.0
2003-10,17982.0
2003-11,20184.0
2003-12,22236.0
2004-01,21851.0
2004-02,21755.0
2004-03,22142.0
2004-04,19607.0
2004-05,19545.0
2004-06,21149.0
2004-07,22337.0
2004-08,22803.0
2004-09,23245.0
2004-10,23052.0
2004-11,25128.0
2004-12,26196.0
2005-01,24351.0
2005-02,28139.0
2005-03,26611.0
2005-04,24844.0
2005-05,25207.0
2005-06,25051.0
2005-07,26042.0
2005-08,28045.0
2005-09,31584.0
2005-10,30194.0
2005-11,31917.0
2005-12,33456.0
2006-01,38383.0
2006-02,38610.0
2006-03,37952.0
2006-04,40363.0
2006-05,36530.0
2006-06,36631.0
2006-07,37077.0
2006-08,36232.0
2006-09,36449.0
2006-10,39263.0
2006-11,41932.0
2006-12,44474.0
2007-01,44642.0
2007-02,43892.0
2007-03,45805.0
2007-04,48956.0
2007-05,52268.0
2007-06,54392.0
2007-07,54183.0
2007-08,54637.0
2007-09,60465.0
2007-10,65318.0
2007-11,63006.0
2007-12,63886.0
2008-01,59490.0
2008-02,63489.0
2008-03,60968.0
2008-04,67868.0
2008-05,72593.0
2008-06,65018.0
2008-07,59505.0
2008-08,55680.0
2008-09,49541.0
2008-10,37257.0
2008-11,36596.0
2008-12,37550.0
2009-01,39301.0
2009-02,38183.0
2009-03,40926.0
2009-04,47290.0
2009-05,53198.0
2009-06,51465.0
2009-07,54766.0
2009-08,56489.0
2009-09,61518.0
2009-10,61546.0
2009-11,67044.0
2009-12,68588.0
2010-01,65402.0
2010-02,66503.0
2010-03,70372.0
2010-04,67530.0
2010-05,63047.0
2010-06,60936.0
2010-07,67515.0
2010-08,65145.0
2010-09,69430.0
2010-10,70673.0
2010-11,67705.0
2010-12,69305.0
2011-01,66575.0
2011-02,67383.0
2011-03,68587.0
2011-04,66133.0
2011-05,64620.0
2011-06,62404.0
2011-07,58823.0
2011-08,56495.0
2011-09,52324.0
2011-10,58338.0
2011-11,56875.0
2011-12,56754.0
2012-01,63072.0
2012-02,65812.0
2012-03,64511.0
2012-04,61820.0
2012-05,54490.0
2012-06,54355.0
2012-07,56097.0
2012-08,57061.0
2012-09,59176.0
2012-10,57068.0
2012-11,57475.0
2012-12,60952.0
2013-01,59761.0
2013-02,57424.0
2013-03,56352.0
2013-04,55910.0
2013-05,53506.0
2013-06,47457.0
2013-07,48234.0
2013-08,50008.0
2013-09,52338.0
2013-10,54256.0
2013-11,52482.0
2013-12,51507.0
2014-01,47639.0
2014-02,47094.0
2014-03,50415.0
2014-04,51626.0
2014-05,51239.0
2014-06,53168.0
2014-07,55829.0
2014-08,61288.0
2014-09,54116.0
2014-10,54629.0
2014-11,54664.0
2014-12,50007.0
2015-01,46908.0
2015-02,51583.0
2015-03,51150.0
2015-04,56229.0
2015-05,52760.0
2015-06,53081.0
2015-07,50865.0
2015-08,46626.0
2015-09,45059.0
2015-10,45869.0
2015-11,45120.0
2015-12,43350.0
2016-01,40406.0
2016-02,42794.0
2016-03,50055.0
2016-04,53911.0
2016-05,48472.0
2016-06,51527.0
2016-07,57308.0
2016-08,57901.0
2016-09,58367.0
2016-10,64925.0
2016-11,61906.0
2016-12,60227.0
2017-01,64671.0
2017-02,66662.0
2017-03,64984.0
2017-04,65403.0
2017-05,62711.0
2017-06,62900.0
2017-07,65920.0
2017-08,70835.0
2017-09,74294.0
2017-10,74308.0
2017-11,71971.0
2017-12,76402.0
2018-01,84913.0
2018-02,85481.0
2018-03,85366.0
2018-04,86115.0
2018-05,76754.0
2018-06,72763.0
2018-07,79220.0
2018-08,76678.0
2018-09,79342.0
2018-10,87424.0
2018-11,89504.0
2018-12,87887.0
2019-01,97394.0
2019-02,95584.0
2019-03,95415.0
2019-04,96353.0
2019-05,97030.0
2019-06,100967.0
2019-07,101812.0
2019-08,101135.0
2019-09,104745.0
2019-10,107220.0
2019-11,108233.0
2019-12,115645.0
2020-01,113761.0
2020-02,104172.0
2020-03,73020.0
2020-04,80506.0
2020-05,87403.0
2020-06,95056.0
2020-07,102912.0
2020-08,99369.0
2020-09,94603.0
2020-10,93952.0
2020-11,108888.0
2020-12,119306.0
2021-01,116007.0
2021-02,110035.0
2021-03,116634.0
2021-04,118894.0
2021-05,126216.0
2021-06,126802.0
2021-07,121801.0
2021-08,118781.0
2021-09,110979.0
2021-10,103501.0
2021-11,101915.0
2021-12,104822.0
2022-01,112388.0
2022-02,113142.0
2022-03,119999.0
2022-04,107876.0
2022-05,111351.0
2022-06,98542.0
2022-07,103165.0
2022-08,109523.0
2022-09,110037.0
2022-10,116037.0
2022-11,112486.0
2022-12,110031.0
2023-01,113532.0
2023-02,104932.0
2023-03,101882.0
2023-04,104432.0
2023-05,108335.0
2023-06,118087.0
2023-07,121943.0
2023-08,115742.0
2023-09,116565.0
2023-10,113144.0
2023-11,127331.0
2023-12,134185.0
2024-01,128967.3203125
