Date,Crude Oil
2000-09,30.860000610351562
2000-11,33.79999923706055
2000-12,26.799999237060547
2001-01,28.700000762939453
2001-02,27.420000076293945
2001-03,26.399999618530273
2001-05,28.3700008392334
2001-06,26.25
2001-08,27.200000762939453
2001-09,23.43000030517578
2001-10,21.18000030517578
2001-11,19.440000534057617
2001-12,19.84000015258789
2002-01,19.479999542236328
2002-02,21.850000381469727
2002-03,26.229999542236328
2002-04,27.290000915527344
2002-05,25.350000381469727
2002-06,26.860000610351562
2002-07,27.020000457763672
2002-08,28.979999542236328
2002-10,27.219999313354492
2002-11,26.889999389648438
2003-01,33.5099983215332
2003-02,36.599998474121094
2003-03,31.040000915527344
2003-04,25.799999237060547
2003-05,29.559999465942383
2003-07,30.540000915527344
2003-08,31.56999969482422
2003-09,29.200000762939453
2003-10,29.110000610351562
2003-11,30.40999984741211
2003-12,32.52000045776367
2004-01,33.04999923706055
2004-03,35.7599983215332
2004-04,37.380001068115234
2004-05,39.880001068115234
2004-06,37.04999923706055
2004-07,43.79999923706055
2004-09,49.63999938964844
2004-10,51.7599983215332
2004-11,49.130001068115234
2004-12,43.45000076293945
2005-01,48.20000076293945
2005-02,51.75
2005-03,55.400001525878906
2005-04,49.720001220703125
2005-06,56.5
2005-07,60.56999969482422
2005-08,68.94000244140625
2005-09,66.23999786376953
2005-10,59.7599983215332
2005-11,57.31999969482422
2005-12,61.040000915527344
2006-02,61.40999984741211
2006-03,66.62999725341797
2006-04,71.87999725341797
2006-05,71.29000091552734
2006-06,73.9800033569336
2006-07,74.4000015258789
2006-08,70.26000213623047
2006-09,62.90999984741211
2006-11,63.130001068115234
2006-12,61.04999923706055
2007-01,58.13999938964844
2007-02,61.790000915527344
2007-03,65.87000274658203
2007-05,64.01000213623047
2007-06,70.68000030517578
2007-08,74.04000091552734
2007-09,81.66000366210938
2007-10,94.52999877929688
2007-11,88.70999908447266
2007-12,95.9800033569336
2008-01,91.75
2008-02,101.83999633789062
2008-03,101.58000183105469
2008-04,113.45999908447266
2008-05,127.3499984741211
2008-07,124.08000183105469
2008-08,115.45999908447266
2008-09,100.63999938964844
2008-10,67.80999755859375
2008-11,54.43000030517578
2008-12,44.599998474121094
2009-01,41.68000030517578
2009-04,51.119998931884766
2009-05,66.30999755859375
2009-06,69.88999938964844
2009-07,69.44999694824219
2009-08,69.95999908447266
2009-09,70.61000061035156
2009-10,77.0
2009-12,79.36000061035156
2010-01,72.88999938964844
2010-02,79.66000366210938
2010-03,83.76000213623047
2010-04,86.1500015258789
2010-05,73.97000122070312
2010-06,75.62999725341797
2010-07,78.94999694824219
2010-09,79.97000122070312
2010-10,81.43000030517578
2010-11,84.11000061035156
2010-12,91.37999725341797
2011-01,92.19000244140625
2011-02,96.97000122070312
2011-03,106.72000122070312
2011-04,113.93000030517578
2011-06,95.41999816894531
2011-07,95.69999694824219
2011-08,88.80999755859375
2011-09,79.19999694824219
2011-10,93.19000244140625
2011-11,100.36000061035156
2011-12,98.83000183105469
2012-02,107.06999969482422
2012-03,103.0199966430664
2012-05,86.52999877929688
2012-06,84.95999908447266
2012-08,96.47000122070312
2012-09,92.19000244140625
2012-10,86.23999786376953
2012-11,88.91000366210938
2012-12,91.81999969482422
2013-01,97.48999786376953
2013-02,92.05000305175781
2013-03,97.2300033569336
2013-04,93.45999908447266
2013-05,91.97000122070312
2013-06,96.55999755859375
2013-07,105.02999877929688
2013-08,107.6500015258789
2013-10,96.37999725341797
2013-11,92.72000122070312
2014-01,97.48999786376953
2014-02,102.58999633789062
2014-03,101.58000183105469
2014-04,99.73999786376953
2014-05,102.70999908447266
2014-07,98.16999816894531
2014-08,95.95999908447266
2014-09,91.16000366210938
2014-10,80.54000091552734
2014-11,66.1500015258789
2014-12,53.27000045776367
2015-01,48.2400016784668
2015-04,59.630001068115234
2015-05,60.29999923706055
2015-06,59.470001220703125
2015-07,47.119998931884766
2015-08,49.20000076293945
2015-09,45.09000015258789
2015-10,46.59000015258789
2015-12,37.040000915527344
2016-01,33.619998931884766
2016-02,33.75
2016-03,38.34000015258789
2016-04,45.91999816894531
2016-06,48.33000183105469
2016-07,41.599998474121094
2016-08,44.70000076293945
2016-09,48.2400016784668
2016-10,46.86000061035156
2016-11,49.439998626708984
2016-12,53.720001220703125
2017-02,54.0099983215332
2017-03,50.599998474121094
2017-04,49.33000183105469
2017-05,48.31999969482422
2017-06,46.040000915527344
2017-07,50.16999816894531
2017-08,47.22999954223633
2017-09,51.66999816894531
2017-11,57.400001525878906
2017-12,60.41999816894531
2018-01,64.7300033569336
2018-02,61.63999938964844
2018-03,64.94000244140625
2018-05,67.04000091552734
2018-06,74.1500015258789
2018-08,69.80000305175781
2018-09,73.25
2018-10,65.30999755859375
2018-11,50.93000030517578
2018-12,45.40999984741211
2019-01,53.790000915527344
2019-02,57.220001220703125
2019-03,60.13999938964844
2019-04,63.90999984741211
2019-05,53.5
2019-06,58.470001220703125
2019-07,58.58000183105469
2019-08,55.099998474121094
2019-10,54.18000030517578
2019-11,55.16999816894531
2020-01,51.560001373291016
2020-02,44.7599983215332
2020-04,18.84000015258789
2020-05,35.4900016784668
2020-06,39.27000045776367
2020-07,40.27000045776367
2020-08,42.61000061035156
2020-09,40.220001220703125
2020-10,35.790000915527344
2020-12,48.52000045776367
2021-01,52.20000076293945
2021-02,61.5
2021-03,59.15999984741211
2021-04,63.58000183105469
2021-05,66.31999969482422
2021-06,73.47000122070312
2021-07,73.94999694824219
2021-09,75.02999877929688
2021-10,83.56999969482422
2021-11,66.18000030517578
2021-12,75.20999908447266
2022-01,88.1500015258789
2022-02,95.72000122070312
2022-03,100.27999877929688
2022-04,104.69000244140625
2022-06,105.76000213623047
2022-07,98.62000274658203
2022-08,89.55000305175781
2022-09,79.48999786376953
2022-10,86.52999877929688
2022-11,80.55000305175781
2022-12,80.26000213623047
2023-02,77.05000305175781
2023-03,75.66999816894531
2023-04,76.77999877929688
2023-05,68.08999633789062
2023-06,70.63999938964844
2023-07,81.80000305175781
2023-08,83.62999725341797
2023-09,90.79000091552734
2023-11,75.95999908447266
2023-12,71.6500015258789
2024-01,78.2300033569336
