Date,Dow Jones Industrial Average
1990-02,10000
1990-03,10314.855336737175
1990-04,10140.73842520232
1990-05,11051.543885241916
1990-06,11075.474974818519
1990-07,11187.767010524123
1990-08,10132.367753811955
1990-09,9515.508318571776
1990-10,9487.617658295996
1990-11,10020.42304886944
1990-12,10326.456184224236
1991-01,10747.38633600778
1991-02,11387.794796985168
1991-03,11525.824042235421
1991-04,11446.667361328193
1991-05,12058.872564343024
1991-06,11593.76193949498
1991-07,12076.621166336703
1991-08,12218.366850751972
1991-09,12127.574589281374
1991-10,12350.039943037755
1991-11,11707.999027473863
1991-12,12838.977458233476
1992-01,13073.668854850472
1992-02,13310.37476989337
1992-03,13202.215970268488
1992-04,13724.497238720434
1992-05,13938.62665416276
1992-06,13636.414157201903
1992-07,13959.813830710984
1992-08,13468.201868639506
1992-09,13549.61619950679
1992-10,13375.603487200862
1992-11,13774.54760168108
1992-12,13779.792296203676
1993-01,13826.160953075614
1993-02,14147.580841235109
1993-03,14443.749782918274
1993-04,14418.985099510264
1993-05,14911.46538848946
1993-06,14889.09728734674
1993-07,14998.228613108264
1993-08,15543.398978847557
1993-09,15159.181688722168
1993-10,15702.024938348794
1993-11,15788.753429891285
1993-12,16114.931749505055
1994-01,17092.70258066757
1994-02,16528.915286026884
1994-03,15710.117745128686
1994-04,15918.72460143795
1994-05,16321.558820464728
1994-06,15770.24070021882
1994-07,16389.878781563686
1994-08,17112.917231079155
1994-09,16836.928206731274
1994-10,17137.959779097633
1994-11,16468.965996318293
1994-12,16922.684172137127
1995-01,16979.959014969958
1995-02,17791.532075995972
1995-03,18478.170261540065
1995-04,19216.769129241777
1995-05,19938.03619186551
1995-06,20379.667257128964
1995-07,21074.710847139733
1995-08,20714.042582751554
1995-09,21555.520822479244
1995-10,21418.116772602545
1995-11,22942.37782640409
1995-12,23174.707373832098
1996-01,24452.433051995416
1996-02,24942.065228717307
1996-03,25445.416970581085
1996-04,25377.3748740926
1996-05,25804.313848077523
1996-06,25891.80646729881
1996-07,25341.63453857108
1996-08,25817.825014761558
1996-09,27080.19867319649
1996-10,27779.549164669515
1996-11,30129.519641554652
1996-12,29828.036539196284
1997-01,31529.332082942587
1997-02,31920.808586016465
1997-03,30604.633392379557
1997-04,32605.223854676817
1997-05,34189.78152895002
1997-06,35823.48650619986
1997-07,38413.601472682436
1997-08,35696.46764613943
1997-09,37256.46903546247
1997-10,34914.452433052
1997-11,36801.569935049156
1997-12,37255.7743739363
1998-01,37259.59501233025
1998-02,40376.81914487166
1998-03,41630.61373345838
1998-04,42896.460699524156
1998-05,42223.889409885036
1998-06,42523.184328435964
1998-07,42216.838595394394
1998-08,35922.89257059498
1998-09,37426.80004167969
1998-10,41024.66048417908
1998-11,43640.75579174048
1998-12,44009.516862908546
1999-01,44879.615157514505
1999-02,44738.07787155709
1999-03,47109.27025806675
1999-04,51954.812267722555
1999-05,50966.55204751485
1999-06,53013.58063283665
1999-07,51514.95258935084
1999-08,52479.177520753015
1999-09,50157.13243721997
1999-10,52089.40293841826
1999-11,52907.36688548505
1999-12,55983.32812337189
2000-01,53293.21663019694
2000-02,49430.65541314994
2000-03,53364.52363585843
2000-04,52477.30193463235
2000-05,51543.989441144804
2000-06,51237.85210656108
2000-07,51632.975582647356
2000-08,55158.938557188005
2000-09,52449.063943593486
2000-10,54057.72637282484
2000-11,51394.880344552126
2000-12,53268.76454447571
2001-01,53814.14330867284
2001-02,51993.886978569695
2001-03,48984.26591643222
2001-04,53276.96155048452
2001-05,54288.423465666354
2001-06,52283.42190267791
2001-07,52443.40245215519
2001-08,49720.81553263173
2001-09,44249.10562328505
2001-10,45440.76273835574
2001-11,49466.361015595154
2001-12,50372.26911187524
2002-01,49916.501684554205
2002-02,50968.74023132229
2002-03,52517.974366989685
2002-04,50255.461776249525
2002-05,50292.73036712862
2002-06,46890.79920808586
2002-07,44376.193949498105
2002-08,44113.959223368416
2002-09,38709.596748984055
2002-10,42907.22795317981
2002-11,45587.440519606826
2002-12,42810.913132576155
2003-01,41386.19707547498
2003-02,40669.896842763366
2003-03,41252.19686707652
2003-04,43832.343440658544
2003-05,45900.072939460246
2003-06,46667.257128963916
2003-07,48030.07884408322
2003-08,49095.20336216179
2003-09,48427.77256781633
2003-10,51272.3767844118
2003-11,51313.98700982946
2003-12,54918.134139140704
2004-01,55170.53940467507
2004-02,55799.17335278386
2004-03,54681.56715640304
2004-04,54056.12865131465
2004-05,53981.03574033552
2004-06,55359.591539022615
2004-07,53872.07807995554
2004-08,54187.62807821889
2004-09,53755.131812024585
2004-10,53560.59185162029
2004-11,55858.98371018721
2004-12,57835.15681983953
2005-01,56334.86158869091
2005-02,57980.96627418291
2005-03,56643.46497169254
2005-04,55051.99541523394
2005-05,56685.90879094161
2005-06,55725.33083255184
2005-07,57797.61036434996
2005-08,57107.29047271716
2005-09,57641.34625403772
2005-10,57014.93522281267
2005-11,59248.54989406412
2005-12,58831.23198221667
2006-01,59716.02236810114
2006-02,60599.63182939114
2006-03,61329.02643187108
2006-04,62852.73175645167
2006-05,61932.75676426661
2006-06,61904.93557014345
2006-07,62184.67576673266
2006-08,63481.539369941995
2006-09,65218.123719217816
2006-10,67544.82303497622
2006-11,68588.86457573547
2006-12,70036.64339550554
2007-01,71020.07571810635
2007-02,69228.26577749991
2007-03,69808.09975339516
2007-04,73902.26112326769
2007-05,77319.64850126774
2007-06,76168.97641624119
2007-07,75141.12048904171
2007-08,76195.68615192248
2007-09,79361.57132437221
2007-10,79659.75478448127
2007-11,76765.89906568023
2007-12,76259.14348233823
2008-01,71844.56948351915
2008-02,70835.57361675524
2008-03,70917.26581223299
2008-04,74251.18960786358
2008-05,73430.82907853149
2008-06,66058.3515681984
2008-07,66342.60706470773
2008-08,67544.82303497622
2008-09,63605.50171928728
2008-10,54772.88041401827
2008-11,52113.36876107117
2008-12,51909.17300545309
2009-01,47421.27748254663
2009-02,42090.20179917337
2009-03,45431.6974054392
2009-04,48866.59025389879
2009-05,51073.84252023201
2009-06,50865.23566392276
2009-07,55316.62672362891
2009-08,57512.31287555139
2009-09,58912.50738077872
2009-10,58996.45722621652
2009-11,63082.178458546085
2009-12,63683.89427251572
2010-01,61567.85106456879
2010-02,63382.6543016915
2010-03,66751.17224132543
2010-04,67771.52582404224
2010-05,62648.11920391789
2010-06,60501.12882498003
2010-07,64875.69031989163
2010-08,62337.15397172729
2010-09,67232.19061512279
2010-10,69389.91351464
2010-11,68964.60699524157
2010-12,72640.06113021431
2011-01,74712.30592893611
2011-02,77075.33604251327
2011-03,77774.33920322322
2011-04,80986.94036330798
2011-05,79751.17224132542
2011-06,78877.21857524921
2011-07,77257.85835851482
2011-08,74197.00600882221
2011-09,69810.39213643153
2011-10,76599.24976555174
2011-11,77506.13038796847
2011-12,78729.01253864056
2012-01,81525.26831301449
2012-02,83883.1926643743
2012-03,85689.06950088569
2012-04,85825.39682539683
2012-05,80830.43312146157
2012-06,84105.38015352021
2012-07,85075.30130943698
2012-08,85963.28713834184
2012-09,88326.42145114794
2012-10,86219.40884304124
2012-11,86111.94470494254
2012-12,86788.92709527283
2013-01,91918.02993991176
2013-02,93536.10503282276
2013-03,97146.88617970893
2013-04,99031.08610329617
2013-05,101245.56284950158
2013-06,99979.26435344378
2013-07,104102.25417665242
2013-08,99826.64721614392
2013-09,102094.54343371192
2013-10,105033.79528324824
2013-11,109047.13278455073
2013-12,112525.23357993818
2014-01,106690.2851585565
2014-02,111319.26643742836
2014-03,112355.73616755234
2014-04,113330.97148414435
2014-05,114681.11562641102
2014-06,115536.00083359383
2014-07,113876.35024834149
2014-08,117970.92841512973
2014-09,117700.4272168386
2014-10,120240.97808342885
2014-11,123682.19235177658
2014-12,123824.77163002327
2015-01,119392.69216074469
2015-02,126570.3171129867
2015-03,124228.26577749992
2015-04,124785.38432148936
2015-05,126472.12670626235
2015-06,123863.39481087841
2015-07,124511.58348094892
2015-08,116797.05463512904
2015-09,115218.22791844676
2015-10,125118.16192560173
2015-11,126000.69466152617
2015-12,124087.49261922129
2016-01,117403.7025459345
2016-02,118281.02532041263
2016-03,126816.3662255566
2016-04,127597.92990865202
2016-05,128227.71004827898
2016-06,129439.99861067695
2016-07,133239.1719634608
2016-08,133585.3912681046
2016-09,133036.0876662846
2016-10,131984.4048487374
2016-11,139745.1286860477
2016-12,144557.84793859193
2017-01,145454.27390503976
2017-02,152970.89368205343
2017-03,152060.67868431107
2017-04,154262.61678996912
2017-05,155361.9533882116
2017-06,158070.36921260116
2017-07,162302.55982772392
2017-08,163362.4396512799
2017-09,166897.15536105033
2017-10,174308.98544684102
2017-11,181694.38366156092
2017-12,185189.6773297211
2018-01,196076.23910249732
2018-02,188312.70188600605
2018-03,181550.8318571776
2018-04,182173.97797922962
2018-05,184742.62790455352
2018-06,183845.61147580843
2018-07,192733.84043624744
2018-08,197660.83150984684
2018-09,201550.90132333018
2018-10,191508.00597408914
2018-11,195540.13406967456
2018-12,178746.03174603172
2019-01,191781.3900177139
2019-02,199512.7296724671
2019-03,199860.23410093432
2019-04,205177.65968531833
2019-05,192217.2901253864
2019-06,206270.64013059638
2019-07,208571.25490604705
2019-08,205809.97533951583
2019-09,210036.0876662846
2019-10,211265.70803376054
2019-11,219941.47476642005
2019-12,224047.3759160849
2020-01,222061.33861276094
2020-02,200400.50710291413
2020-03,173110.7290472717
2020-04,192531.7286652079
2020-05,201498.59331040952
2020-06,205158.31336181445
2020-07,210297.9055954986
2020-08,226951.7210239311
2020-09,222014.90048973638
2020-10,211989.0243478865
2020-11,237730.67972630332
2020-12,245834.11482755028
2021-01,241035.94873397937
2021-02,249311.62516064048
2021-03,266209.33625091176
2021-04,273622.1735959154
2021-05,279668.50751971104
2021-06,279722.48272029456
2021-07,283465.4232225348
2021-08,287717.37695807725
2021-09,275638.2897433226
2021-10,291971.44941127434
2021-11,281746.8306067868
2021-12,297325.20579347713
2022-01,287688.54850474105
2022-02,278213.46948699246
2022-03,285127.53985620505
2022-04,271377.4096071689
2022-05,272261.2274669168
2022-06,254397.8326560383
2022-07,271741.27331457747
2022-08,261629.71067347436
2022-09,238705.81084366638
2022-10,272282.3799103887
2022-11,288737.86947309924
2022-12,276921.53798061894
2023-01,285029.1410510229
2023-02,273793.0255982772
2023-03,279495.3284012365
2023-04,286685.49199402594
2023-05,277606.4395123477
2023-06,290587.7183842173
2023-07,300596.1932548366
2023-08,294553.228439443
2023-09,284489.49324441666
2023-10,280905.109235525
2023-11,306620.78427286306
2023-12,321734.465631621