Date,Hang Seng
1987-01,2553.300048828125
1987-02,2877.89990234375
1987-03,2713.800048828125
1987-04,2659.89990234375
1987-05,2950.800048828125
1987-06,3178.199951171875
1987-07,3479.199951171875
1987-08,3611.699951171875
1987-09,3943.60009765625
1987-10,2204.5
1987-11,2138.39990234375
1987-12,2302.800048828125
1988-01,2409.699951171875
1988-02,2418.10009765625
1988-03,2544.0
1988-04,2602.89990234375
1988-05,2496.699951171875
1988-06,2671.5
1988-07,2678.89990234375
1988-08,2443.800048828125
1988-09,2441.0
1988-10,2627.39990234375
1988-11,2659.300048828125
1988-12,2687.39990234375
1989-01,3072.89990234375
1989-02,3012.699951171875
1989-03,3005.0
1989-04,3116.0
1989-05,2743.89990234375
1989-06,2273.89990234375
1989-07,2571.10009765625
1989-08,2508.60009765625
1989-09,2758.199951171875
1989-10,2725.300048828125
1989-11,2748.39990234375
1989-12,2836.60009765625
1990-01,2751.60009765625
1990-02,2952.0
1990-03,2997.0
1990-04,2951.0
1990-05,3132.0
1990-06,3278.0
1990-07,3438.0
1990-08,3087.0
1990-09,2760.0
1990-10,2990.0
1990-11,2965.0
1990-12,3024.0
1991-01,3243.0
1991-02,3552.0
1991-03,3745.0
1991-04,3588.0
1991-05,3707.0
1991-06,3668.0
1991-07,4009.0
1991-08,3998.0
1991-09,3956.699951171875
1991-10,4038.699951171875
1991-11,4149.7998046875
1991-12,4297.2998046875
1992-01,4601.7998046875
1992-02,4929.10009765625
1992-03,4938.2998046875
1992-04,5369.60009765625
1992-05,6080.2001953125
1992-06,6103.89990234375
1992-07,5881.10009765625
1992-08,5628.60009765625
1992-09,5505.39990234375
1992-10,6190.7001953125
1992-11,5810.60009765625
1992-12,5512.39990234375
1993-01,5751.39990234375
1993-02,6352.0
1993-03,6388.89990234375
1993-04,6830.5
1993-05,7372.2001953125
1993-06,7099.2998046875
1993-07,6989.0
1993-08,7549.7001953125
1993-09,7676.2001953125
1993-10,9329.099609375
1993-11,9125.2001953125
1993-12,11888.400390625
1994-01,11487.0
1994-02,10410.2001953125
1994-03,9029.900390625
1994-04,8966.099609375
1994-05,9553.599609375
1994-06,8758.400390625
1994-07,9482.7998046875
1994-08,9929.400390625
1994-09,9521.2001953125
1994-10,9646.2998046875
1994-11,8466.2998046875
1994-12,8191.0
1995-01,7342.7001953125
1995-02,8327.5
1995-03,8587.7001953125
1995-04,8361.0
1995-05,9407.400390625
1995-06,9206.5
1995-07,9453.400390625
1995-08,9179.900390625
1995-09,9646.2998046875
1995-10,9782.400390625
1995-11,9813.2998046875
1995-12,10073.400390625
1996-01,11359.7001953125
1996-02,11125.7001953125
1996-03,10957.2001953125
1996-04,10964.5
1996-05,11264.7001953125
1996-06,11020.900390625
1996-07,10681.400390625
1996-08,11159.0
1996-09,11902.400390625
1996-10,12477.599609375
1996-11,13393.900390625
1996-12,13451.5
1997-01,13321.7998046875
1997-02,13398.7001953125
1997-03,12534.2998046875
1997-04,12903.2998046875
1997-05,14757.7998046875
1997-06,15196.7998046875
1997-07,16365.7001953125
1997-08,14135.2001953125
1997-09,15049.2998046875
1997-10,10623.7998046875
1997-11,10526.900390625
1997-12,10722.7998046875
1998-01,9252.400390625
1998-02,11480.7001953125
1998-03,11518.7001953125
1998-04,10383.6796875
1998-05,8934.5595703125
1998-06,8543.099609375
1998-07,7936.2001953125
1998-08,7275.0400390625
1998-09,7883.4599609375
1998-10,10154.9404296875
1998-11,10402.3203125
1998-12,10048.580078125
1999-01,9506.900390625
1999-02,9858.490234375
1999-03,10942.2001953125
1999-04,13333.2001953125
1999-05,12147.1201171875
1999-06,13532.1396484375
1999-07,13186.8603515625
1999-08,13482.76953125
1999-09,12733.240234375
1999-10,13256.9501953125
1999-11,15377.1904296875
1999-12,16962.099609375
2000-01,15532.33984375
2000-02,17169.439453125
2000-03,17406.5390625
2000-04,15519.2998046875
2000-05,14713.8603515625
2000-06,16155.7802734375
2000-07,16840.98046875
2000-08,17097.509765625
2000-09,15648.98046875
2000-10,14895.33984375
2000-11,13984.3896484375
2000-12,15095.5302734375
2001-01,16102.349609375
2001-02,14787.8701171875
2001-03,12760.6396484375
2001-04,13386.0400390625
2001-05,13174.41015625
2001-06,13042.5302734375
2001-07,12316.6904296875
2001-08,11090.48046875
2001-09,9950.7001953125
2001-10,10073.9697265625
2001-11,11279.25
2001-12,11397.2099609375
2002-01,10725.2998046875
2002-02,10482.5498046875
2002-03,11032.919921875
2002-04,11497.580078125
2002-05,11301.9404296875
2002-06,10598.5498046875
2002-07,10267.3603515625
2002-08,10043.8701171875
2002-09,9072.2099609375
2002-10,9441.25
2002-11,10069.8701171875
2002-12,9321.2900390625
2003-01,9258.9501953125
2003-02,9122.66015625
2003-03,8634.4501953125
2003-04,8717.2197265625
2003-05,9487.3798828125
2003-06,9577.1201171875
2003-07,10134.830078125
2003-08,10908.990234375
2003-09,11229.8701171875
2003-10,12190.099609375
2003-11,12317.4697265625
2003-12,12575.9404296875
2004-01,13289.3701171875
2004-02,13907.0302734375
2004-03,12681.669921875
2004-04,11942.9599609375
2004-05,12198.240234375
2004-06,12285.75
2004-07,12238.0302734375
2004-08,12850.2802734375
2004-09,13120.0302734375
2004-10,13054.66015625
2004-11,14060.0498046875
2004-12,14230.1396484375
2005-01,13721.6904296875
2005-02,14195.349609375
2005-03,13516.8798828125
2005-04,13908.9697265625
2005-05,13867.0703125
2005-06,14201.0595703125
2005-07,14880.98046875
2005-08,14903.5498046875
2005-09,15428.51953125
2005-10,14386.3701171875
2005-11,14937.1396484375
2005-12,14876.4296875
2006-01,15753.1396484375
2006-02,15918.48046875
2006-03,15805.0400390625
2006-04,16661.30078125
2006-05,15857.8896484375
2006-06,16267.6201171875
2006-07,16971.33984375
2006-08,17392.26953125
2006-09,17543.05078125
2006-10,18324.349609375
2006-11,18960.48046875
2006-12,19964.720703125
2007-01,20106.419921875
2007-02,19651.509765625
2007-03,19800.9296875
2007-04,20318.98046875
2007-05,20634.470703125
2007-06,21772.73046875
2007-07,23184.939453125
2007-08,23984.140625
2007-09,27142.470703125
2007-10,31352.580078125
2007-11,28643.609375
2007-12,27812.650390625
2008-01,23455.740234375
2008-02,24331.669921875
2008-03,22849.19921875
2008-04,25755.349609375
2008-05,24533.119140625
2008-06,22102.009765625
2008-07,22731.099609375
2008-08,21261.890625
2008-09,18016.2109375
2008-10,13968.669921875
2008-11,13888.240234375
2008-12,14387.48046875
2009-01,13278.2099609375
2009-02,12811.5703125
2009-03,13576.01953125
2009-04,15520.990234375
2009-05,18171.0
2009-06,18378.73046875
2009-07,20573.330078125
2009-08,19724.189453125
2009-09,20955.25
2009-10,21752.869140625
2009-11,21821.5
2009-12,21872.5
2010-01,20121.990234375
2010-02,20608.69921875
2010-03,21239.349609375
2010-04,21108.58984375
2010-05,19765.189453125
2010-06,20128.990234375
2010-07,21029.810546875
2010-08,20536.490234375
2010-09,22358.169921875
2010-10,23096.3203125
2010-11,23007.990234375
2010-12,23035.44921875
2011-01,23447.33984375
2011-02,23338.01953125
2011-03,23527.51953125
2011-04,23720.810546875
2011-05,23684.130859375
2011-06,22398.099609375
2011-07,22440.25
2011-08,20534.849609375
2011-09,17592.41015625
2011-10,19864.869140625
2011-11,17989.349609375
2011-12,18434.390625
2012-01,20390.490234375
2012-02,21680.080078125
2012-03,20555.580078125
2012-04,21094.2109375
2012-05,18629.51953125
2012-06,19441.4609375
2012-07,19796.810546875
2012-08,19482.5703125
2012-09,20840.380859375
2012-10,21641.8203125
2012-11,22030.390625
2012-12,22656.919921875
2013-01,23729.529296875
2013-02,23020.26953125
2013-03,22299.630859375
2013-04,22737.009765625
2013-05,22392.16015625
2013-06,20803.2890625
2013-07,21883.66015625
2013-08,21731.369140625
2013-09,22859.859375
2013-10,23206.369140625
2013-11,23881.2890625
2013-12,23306.390625
2014-01,22035.419921875
2014-02,22836.9609375
2014-03,22151.060546875
2014-04,22133.970703125
2014-05,23081.650390625
2014-06,23190.720703125
2014-07,24756.849609375
2014-08,24742.060546875
2014-09,22932.98046875
2014-10,23998.060546875
2014-11,23987.44921875
2014-12,23605.0390625
2015-01,24507.05078125
2015-02,24823.2890625
2015-03,24900.890625
2015-04,28133.0
2015-05,27424.189453125
2015-06,26250.029296875
2015-07,24636.279296875
2015-08,21670.580078125
2015-09,20846.30078125
2015-10,22640.0390625
2015-11,21996.419921875
2015-12,21914.400390625
2016-01,19683.109375
2016-02,19111.9296875
2016-03,20776.69921875
2016-04,21067.05078125
2016-05,20815.08984375
2016-06,20794.369140625
2016-07,21891.369140625
2016-08,22976.880859375
2016-09,23297.150390625
2016-10,22934.5390625
2016-11,22789.76953125
2016-12,22000.560546875
2017-01,23360.779296875
2017-02,23740.73046875
2017-03,24111.58984375
2017-04,24615.130859375
2017-05,25660.650390625
2017-06,25764.580078125
2017-07,27323.990234375
2017-08,27970.30078125
2017-09,27554.30078125
2017-10,28245.5390625
2017-11,29177.349609375
2017-12,29919.150390625
2018-01,32887.26953125
2018-02,30844.720703125
2018-03,30093.380859375
2018-04,30808.44921875
2018-05,30468.560546875
2018-06,28955.109375
2018-07,28583.009765625
2018-08,27888.55078125
2018-09,27788.51953125
2018-10,24979.689453125
2018-11,26506.75
2018-12,25845.69921875
2019-01,27942.470703125
2019-02,28633.1796875
2019-03,29051.359375
2019-04,29699.109375
2019-05,26901.08984375
2019-06,28542.619140625
2019-07,27777.75
2019-08,25724.73046875
2019-09,26092.26953125
2019-10,26906.720703125
2019-11,26346.490234375
2019-12,28189.75
2020-01,26312.630859375
2020-02,26129.9296875
2020-03,23603.48046875
2020-04,24643.58984375
2020-05,22961.470703125
2020-06,24427.189453125
2020-07,24595.349609375
2020-08,25177.05078125
2020-09,23459.05078125
2020-10,24107.419921875
2020-11,26341.490234375
2020-12,27231.130859375
2021-01,28283.7109375
2021-02,28980.2109375
2021-03,28378.349609375
2021-04,28724.880859375
2021-05,29151.80078125
2021-06,28827.94921875
2021-07,25961.029296875
2021-08,25878.990234375
2021-09,24575.640625
2021-10,25377.240234375
2021-11,23475.259765625
2021-12,23397.669921875
2022-01,23802.259765625
2022-02,22713.01953125
2022-03,21996.849609375
2022-04,21089.390625
2022-05,21415.19921875
2022-06,21859.7890625
2022-07,20156.509765625
2022-08,19954.390625
2022-09,17222.830078125
2022-10,14687.01953125
2022-11,18597.23046875
2022-12,19781.41015625
2023-01,21842.330078125
2023-02,19785.939453125
2023-03,20400.109375
2023-04,19894.5703125
2023-05,18234.26953125
2023-06,18916.4296875
2023-07,20078.939453125
2023-08,18382.060546875
2023-09,17809.66015625
2023-10,17112.48046875
2023-11,17042.880859375
2023-12,17047.390625
2024-01,15952.23046875
