Date,MSCI Europe Value
1978-12,10000
1979-01,10075.74448610962
1979-02,10339.542637794726
1979-03,10949.60796858145
1979-04,11189.076356232576
1979-05,10677.170649245125
1979-06,10956.239113481308
1979-07,11069.995937256293
1979-08,11451.146674387437
1979-09,11988.456204089829
1979-10,10816.611484956175
1979-11,11197.949014901396
1979-12,11309.324230296861
1980-01,11814.318603163338
1980-02,11873.718718040918
1980-03,10342.904908448172
1980-04,11498.498652756829
1980-05,11644.710727978296
1980-06,12463.190141075273
1980-07,12614.865906108595
1980-08,12685.61368444156
1980-09,12599.222007929355
1980-10,12638.121611461607
1980-11,12253.655301880537
1980-12,12024.787406428475
1981-01,11594.977141229378
1981-02,11624.723896871688
1981-03,12004.333593286667
1981-04,12110.945591923082
1981-05,11123.55877669386
1981-06,10946.806076370243
1981-07,10495.094353720213
1981-08,10748.338711409773
1981-09,9747.923097398443
1981-10,10217.520231996676
1981-11,11485.236362957117
1981-12,11092.084187521306
1982-01,11177.168314334947
1982-02,10839.680397495109
1982-03,10813.902989152008
1982-04,11160.030073643067
1982-05,11081.530393525762
1982-06,10112.916256111628
1982-07,10171.195614104727
1982-08,10195.805567359825
1982-09,10257.68068702397
1982-10,10512.232594412093
1982-11,10585.221886514026
1982-12,11232.64578011684
1983-01,11534.549665874354
1983-02,12030.484587257928
1983-03,12709.896750272017
1983-04,13781.340331837435
1983-05,13659.131133225306
1983-06,14137.97451212052
1983-07,13874.783437081176
1983-08,13728.38456904563
1983-09,13950.948207022477
1983-10,13814.169168912073
1983-11,14232.725167062823
1983-12,14477.750640932843
1984-01,15417.271797553949
1984-02,15918.623710545857
1984-03,16285.531495603365
1984-04,16145.436885043033
1984-05,15120.738205201249
1984-06,14989.236064088615
1984-07,13935.86468728548
1984-08,15140.818432714892
1984-09,14917.647718092285
1984-10,14892.804273819587
1984-11,14905.179297752416
1984-12,14997.501646111674
1985-01,15772.50503173143
1985-02,15169.724620693842
1985-03,16812.00704208909
1985-04,17219.86915163374
1985-05,18070.103343124392
1985-06,18448.498886247846
1985-07,20107.732755520898
1985-08,21129.16256111627
1985-09,21567.09831372787
1985-10,23917.558991505597
1985-11,25740.656856930716
1985-12,27083.136811726854
1986-01,27452.426205163887
1986-02,31044.872303762477
1986-03,33683.46089725928
1986-04,36293.93717223698
1986-05,32975.79632111553
1986-06,34580.34659406653
1986-07,34095.29235410314
1986-08,37893.350642800775
1986-09,35936.97610452926
1986-10,36034.01497144405
1986-11,37704.17622034081
1986-12,38768.52167497117
1987-01,41008.72789423791
1987-02,42371.007887326574
1987-03,44993.57899701599
1987-04,46966.4380011301
1987-05,47030.60133276673
1987-06,48473.669217945186
1987-07,50204.538131418085
1987-08,50759.5462802546
1987-09,51104.879495285815
1987-10,41872.691357563475
1987-11,40310.35626059466
1987-12,42772.93932502417
1988-01,41245.11420045671
1988-02,43648.95092485792
1988-03,45245.74929602459
1988-04,46313.55041771543
1988-05,45519.914448891155
1988-06,44994.13937545822
1988-07,45309.58574023657
1988-08,43319.35500441298
1988-09,45445.05722864842
1988-10,49830.672314036085
1988-11,50695.14945760036
1988-12,51134.81304374221
1989-01,53117.29187778146
1989-02,52390.15415076982
1989-03,53038.60540485007
1989-04,54433.48074399578
1989-05,51761.45623677858
1989-06,53686.0759966564
1989-07,59957.644729407264
1989-08,59147.47759653686
1989-09,60242.55046908346
1989-10,56291.4154692469
1989-11,59455.91923078719
1989-12,66561.09759457555
1990-01,66612.04533461599
1990-02,65475.27096632594
1990-03,66226.97194838915
1990-04,64585.950378488946
1990-05,69255.11695565072
1990-06,71249.87741721576
1990-07,74174.44580906972
1990-08,66844.18210431443
1990-09,59101.66665888364
1990-10,63077.97199041753
1990-11,64171.03684021276
1990-12,63343.03099359768
1991-01,65276.196524719686
1991-02,71294.2874087634
1991-03,66329.941487151
1991-04,65765.64039581399
1991-05,67830.0278788275
1991-06,62106.55596079218
1991-07,66581.17782208919
1991-08,68036.06035275823
1991-09,70060.24068254094
1991-10,68038.95564137648
1991-11,65743.87903297361
1991-12,70119.1271171798
1992-01,70150.18142252068
1992-02,70398.0087886019
1992-03,67873.13032067657
1992-04,72586.19320914724
1992-05,76553.1122017736
1992-06,74245.75396584494
1992-07,71237.78258250405
1992-08,70774.396308974
1992-09,69686.37486515894
1992-10,64805.15174581234
1992-11,64598.652289846425
1992-12,66401.48313494382
1993-01,67769.22681784433
1993-02,69277.53209334037
1993-03,73522.21200050434
1993-04,75330.41313900654
1993-05,76286.55885608081
1993-06,76034.01497144405
1993-07,77427.20917526304
1993-08,84047.37999729151
1993-09,83754.76905403449
1993-10,87297.80845330881
1993-11,85420.58737000388
1993-12,92533.75112659416
1994-01,97993.42489294436
1994-02,94731.36858425057
1994-03,92158.71785412416
1994-04,96238.9266884903
1994-05,92591.70359716262
1994-06,92015.49446392797
1994-07,97012.9027136326
1994-08,99264.50329455826
1994-09,95481.34173278355
1994-10,100298.54161510407
1994-11,96196.61811610108
1994-12,96195.17047179195
1995-01,95628.34767746486
1995-02,97069.68772911307
1995-03,100910.05459019991
1995-04,104200.73689765153
1995-05,106797.76409001547
1995-06,106423.85157442994
1995-07,112094.0408422488
1995-08,106882.24114018332
1995-09,109950.40650786164
1995-10,109260.76743827666
1995-11,110549.40436441409
1995-12,114611.02731377924
1996-01,114768.35356143849
1996-02,116939.82002512364
1996-03,118165.50777291598
1996-04,119417.01962725492
1996-05,120413.79278139172
1996-06,121470.94671267996
1996-07,120310.30956239114
1996-08,124303.42624719227
1996-09,126167.75862632567
1996-10,128728.1277289263
1996-11,135840.54431426022
1996-12,138932.99274776902
1997-01,140131.68893392672
1997-02,143148.76646695402
1997-03,147798.50659145144
1997-04,147422.53935491102
1997-05,154894.39201273926
1997-06,161381.28616192137
1997-07,169106.80346127084
1997-08,159646.4945993528
1997-09,175250.93279661532
1997-10,169751.7523500871
1997-11,172666.51411920183
1997-12,179077.75717868135
1998-01,186273.5300572987
1998-02,199544.59911927188
1998-03,219473.99143554948
1998-04,224152.26416239768
1998-05,229218.73905510857
1998-06,229091.3930541092
1998-07,236698.76389855283
1998-08,201622.57577950976
1998-09,193620.18483148955
1998-10,207387.98268430613
1998-11,219034.46794401825
1998-12,223459.21612395573
1999-01,219468.80793495872
1999-02,217260.9635707314
1999-03,226831.71368397458
1999-04,242493.17038773518
1999-05,228704.17155052046
1999-06,232810.76486987548
1999-07,238972.1258423188
1999-08,240309.14210730314
1999-09,237745.9711124913
1999-10,242400.05416991614
1999-11,241186.8348424636
1999-12,260721.86083001387
2000-01,235786.23430356637
2000-02,240879.3738704872
2000-03,249514.71226901902
2000-04,239286.73163943383
2000-05,246612.88590227938
2000-06,253637.22967577435
2000-07,255284.46210674275
2000-08,253783.44175099584
2000-09,244430.0250769353
2000-10,246705.39504345268
2000-11,240786.58454009276
2000-12,260883.57670880406
2001-01,263988.3534680421
2001-02,246441.36340074998
2001-03,230514.14722075642
2001-04,245916.98927342266
2001-05,236623.48639447842
2001-06,228950.59797049608
2001-07,230620.80591759636
2001-08,228319.56514632882
2001-09,203724.13503252534
2001-10,207928.0007098127
2001-11,215008.42902573542
2001-12,220661.9937331011
2002-01,208078.08873592634
2002-02,206564.50656343251
2002-03,221588.81297836473
2002-04,220947.27305840547
2002-05,223743.98176902137
2002-06,212461.6024021556
2002-07,190323.29166296974
2002-08,191646.25176869446
2002-09,160220.1353313938
2002-10,176823.07451632337
2002-11,190346.36057550868
2002-12,180994.81182958893
2003-01,173216.10527643003
2003-02,167141.6963589411
2003-03,163460.47697545076
2003-04,187980.62958517988
2003-05,202637.84142224048
2003-06,206300.38152432276
2003-07,214157.21417197085
2003-08,215306.83054622888
2003-09,217491.88618713839
2003-10,233464.8666065817
2003-11,242716.29440415432
2003-12,265109.11035252473
2004-01,266563.8994867868
2004-02,274622.46837364166
2004-03,267083.4636991515
2004-04,266727.4832937177
2004-05,271686.13203450065
2004-06,277267.78150844533
2004-07,271292.32608421554
2004-08,272890.898987116
2004-09,284289.37008793274
2004-10,295078.5697274226
2004-11,317685.91722276446
2004-12,332317.02476405737
2005-01,327692.08138562914
2005-02,345373.79577007674
2005-03,335939.1242218912
2005-04,325247.9908097936
2005-05,326476.3870533901
2005-06,333687.1500553374
2005-07,345684.8992019277
2005-08,350653.63475467096
2005-09,360834.0766130727
2005-10,348986.46219079953
2005-11,359709.0234938662
2005-12,371860.4097300376
2006-01,397474.9347392606
2006-02,400746.3306886584
2006-03,414265.9742879692
2006-04,435681.21004384966
2006-05,424531.12668755633
2006-06,425930.8119416646
2006-07,434668.6995951266
2006-08,449652.89225323504
2006-09,457741.16119752877
2006-10,479830.0185391868
2006-11,495882.4326028178
2006-12,511579.6601304748
2007-01,512956.1363774336
2007-02,509660.08377657714
2007-03,523052.4280730921
2007-04,560427.9423370584
2007-05,571260.1510219902
2007-06,572036.228466291
2007-07,556494.5993527629
2007-08,546852.1674971165
2007-09,570262.257110969
2007-10,597411.1916914555
2007-11,567401.7586543445
2007-12,556832.4608552309
2008-01,494045.4653709472
2008-02,495664.8189744141
2008-03,499608.622356298
2008-04,529428.7408763386
2008-05,524785.818689555
2008-06,470076.3515627554
2008-07,455728.14173838735
2008-08,440985.0986032568
2008-09,373560.31773457676
2008-10,289115.5827235326
2008-11,271877.8281599507
2008-12,285453.276112468
2009-01,246328.16695541717
2009-02,216501.18379945925
2009-03,234451.41285414752
2009-04,281593.7629879379
2009-05,316563.61929756566
2009-06,308199.27057406097
2009-07,343303.4309170126
2009-08,375521.4087914038
2009-09,392786.5285022485
2009-10,381660.58811717515
2009-11,391774.3916391536
2009-12,396589.25661129825
2010-01,370079.5270405948
2010-02,359675.961165774
2010-03,382371.75505858293
2010-04,370463.29287712305
2010-05,322523.6643146338
2010-06,315087.58248070197
2010-07,359671.6649310501
2010-08,341931.34430118476
2010-09,378593.4501099743
2010-10,397856.0854763917
2010-11,357848.0533853863
2010-12,389040.4920122723
2011-01,416753.82108050305
2011-02,430215.932493077
2011-03,422639.2890665496
2011-04,456431.1364941791
2011-05,438558.4264573342
2011-06,430394.599819745
2011-07,410508.543436334
2011-08,363642.132987144
2011-09,328498.2791712003
2011-10,368053.29198985716
2011-11,348716.3597816393
2011-12,343606.9225416898
2012-01,358905.4408076921
2012-02,379862.4270924298
2012-03,374099.40179601294
2012-04,359473.1041696826
2012-05,315082.86596214643
2012-06,346425.3926151461
2012-07,346300.1947315087
2012-08,367118.3005589775
2012-09,379866.6766289501
2012-10,387755.03056397423
2012-11,395135.9618195488
2012-12,409862.14690320863
2013-01,435777.5017395081
2013-02,415015.52715267043
2013-03,410015.64389817923
2013-04,433992.649702766
2013-05,437862.7166212916
2013-06,413662.91368771036
2013-07,448148.276135817
2013-08,442693.45898263296
2013-09,478044.9797096306
2013-10,505443.1893005077
2013-11,511780.7892930359
2013-12,523503.34592628217
2014-01,506501.5573850874
2014-02,543514.9737789588
2014-03,537506.5027248403
2014-04,555518.5135027856
2014-05,559374.0572800165
2014-06,559809.7048206555
2014-07,542438.9537734482
2014-08,541830.102595953
2014-09,520817.1251651949
2014-10,503119.673486161
2014-11,510614.5483583248
2014-12,488248.116894943
2015-01,482599.22200792935
2015-02,512349.29322268965
2015-03,496809.7188301166
2015-04,520518.9104375155
2015-05,513015.25630309
2015-06,496445.8464282879
2015-07,508516.6315651837
2015-08,471490.4665617514
2015-09,440718.31176654645
2015-10,471126.8276509403
2015-11,459458.4876319808
2015-12,443767.1907761709
2016-01,410511.95240519097
2016-02,404502.31389598444
2016-03,430264.87221036607
2016-04,448576.21847287536
2016-05,443813.7488850804
2016-06,417871.68267636746
2016-07,434149.322175576
2016-08,440609.2247631234
2016-09,444742.0157746532
2016-10,442639.98953960236
2016-11,437442.71297883167
2016-12,466386.773200835
2017-01,473269.528021257
2017-02,472978.73830793734
2017-03,495082.4923765182
2017-04,510735.02972340654
2017-05,533027.5846288194
2017-06,530115.5313555087
2017-07,549823.1539032694
2017-08,547137.1199349961
2017-09,568481.5612143402
2017-10,567535.8291966509
2017-11,571012.3236559089
2017-12,578750.3093755982
2018-01,614925.9133001153
2018-02,578968.2965896302
2018-03,568686.8465170143
2018-04,591137.8951251747
2018-05,559331.281725592
2018-06,555379.6797437203
2018-07,575042.1451286769
2018-08,547142.4435301974
2018-09,557556.2363115891
2018-10,521493.9222288119
2018-11,515329.6192695467
2018-12,490532.9198985715
2019-01,522896.54946974193
2019-02,537726.3578670128
2019-03,533815.243227593
2019-04,552143.9612218118
2019-05,514081.42298765766
2019-06,545583.4240056785
2019-07,529846.1294194013
2019-08,506514.1192018343
2019-09,532796.2417285808
2019-10,551429.3386133435
2019-11,555831.905146609
2019-12,580419.6300568318
2020-01,554981.4374641007
2020-02,498321.7599618942
2020-03,402151.8065200031
2020-04,420854.8106154357
2020-05,434785.11821650213
2020-06,457781.04146333487
2020-07,464836.62633498496
2020-08,486321.0221302787
2020-09,460447.78907355433
2020-10,433907.42548134166
2020-11,532967.1571534643
2020-12,554463.7411798768
2021-01,545941.6459248813
2021-02,570120.1544776573
2021-03,593668.2372829117
2021-04,611962.8655885608
2021-05,637160.002054721
2021-06,618256.7560625942
2021-07,621305.7284686258
2021-08,629609.5563203684
2021-09,607692.4082730537
2021-10,629046.0024002877
2021-11,588913.426200494
2021-12,632669.222615006
2022-01,640585.4553775317
2022-02,622609.8225001285
2022-03,620658.0243858019
2022-04,593807.0243437736
2022-05,616186.6713987513
2022-06,546817.9377139362
2022-07,554964.766205444
2022-08,529224.8098215662
2022-09,484341.6720758753
2022-10,527341.1443861754
2022-11,586410.2623972056
2022-12,592146.576321209
2023-01,642602.2573911581
2023-02,643866.2843640406
2023-03,638681.8031110343
2023-04,669732.4192938298
2023-05,622846.815882993
2023-06,658161.211538192
2023-07,687326.994830509
2023-08,664551.5338024946
2023-09,654337.1890483373
2023-10,627741.0211029182
2023-11,682369.513544814
2023-12,714688.2661424015