Date,S&P 500 ETF
1993-02,25.10569953918457
1993-03,25.547380447387695
1993-04,25.011260986328125
1993-05,25.685789108276367
1993-06,25.597055435180664
1993-07,25.653301239013672
1993-08,26.63654899597168
1993-09,26.279010772705078
1993-10,26.964385986328125
1993-11,26.67658233642578
1993-12,26.82048797607422
1994-01,27.945878982543945
1994-02,27.130876541137695
1994-03,25.84496307373047
1994-04,26.285505294799805
1994-05,26.704469680786133
1994-06,25.92119026184082
1994-07,26.936017990112305
1994-08,27.96285629272461
1994-09,27.091890335083008
1994-10,28.03148651123047
1994-11,26.91537094116211
1994-12,26.896930694580078
1995-01,28.022533416748047
1995-02,29.166118621826172
1995-03,29.816944122314453
1995-04,30.866371154785156
1995-05,32.090919494628906
1995-06,32.54896926879883
1995-07,33.79322052001953
1995-08,33.94364929199219
1995-09,35.194217681884766
1995-10,35.27808380126953
1995-11,36.847267150878906
1995-12,37.19701385498047
1996-01,38.7585563659668
1996-02,38.882205963134766
1996-03,39.37677764892578
1996-04,39.981605529785156
1996-05,40.889183044433594
1996-06,41.03248977661133
1996-07,39.39629364013672
1996-08,40.155033111572266
1996-09,42.181514739990234
1996-10,43.769412994384766
1996-11,46.96473693847656
1996-12,45.62290573120117
1997-01,48.679832458496094
1997-02,49.14546585083008
1997-03,46.79777145385742
1997-04,49.91795349121094
1997-05,53.0731315612793
1997-06,55.04024124145508
1997-07,59.63425827026367
1997-08,56.545005798339844
1997-09,59.04771041870117
1997-10,57.8121223449707
1997-11,60.04925537109375
1997-12,60.95196533203125
1998-01,61.98255920410156
1998-02,66.27764129638672
1998-03,69.31172180175781
1998-04,70.40000915527344
1998-05,68.93788146972656
1998-06,71.64485931396484
1998-07,70.90155029296875
1998-08,60.89167785644531
1998-09,64.53883361816406
1998-10,70.01814270019531
1998-11,73.91683959960938
1998-12,78.49191284179688
1999-01,81.52680206298828
1999-02,78.912353515625
1999-03,81.9858169555664
1999-04,85.30563354492188
1999-05,83.35504150390625
1999-06,87.70631408691406
1999-07,85.2420654296875
1999-08,84.80065155029297
1999-09,82.67362976074219
1999-10,88.21887969970703
1999-11,89.68781280517578
1999-12,94.57768249511719
2000-01,90.08953094482422
2000-02,88.71776580810547
2000-03,97.06913757324219
2000-04,93.89805603027344
2000-05,92.42172241210938
2000-06,94.01939392089844
2000-07,92.7610092163086
2000-08,98.82210540771484
2000-09,93.1664047241211
2000-10,92.96356964111328
2000-11,86.02354431152344
2000-12,85.312255859375
2001-01,89.37849426269531
2001-02,80.85285949707031
2001-03,76.1171875
2001-04,82.84306335449219
2001-05,82.37873077392578
2001-06,80.18762969970703
2001-07,79.59578704833984
2001-08,74.87315368652344
2001-09,68.50419616699219
2001-10,69.65662384033203
2001-11,75.08827209472656
2001-12,75.25286102294922
2002-01,74.77178955078125
2002-02,73.43065643310547
2002-03,75.65701293945312
2002-04,71.46129608154297
2002-05,71.03724670410156
2002-06,65.56468200683594
2002-07,60.60829544067383
2002-08,61.0205078125
2002-09,54.37856674194336
2002-10,59.11690139770508
2002-11,62.7633171081543
2002-12,58.9232292175293
2003-01,57.75644302368164
2003-02,56.97796630859375
2003-03,56.8705940246582
2003-04,61.93120574951172
2003-05,65.32728576660156
2003-06,65.78547668457031
2003-07,67.21332550048828
2003-08,68.59967041015625
2003-09,67.59205627441406
2003-10,71.48336029052734
2003-11,72.26406860351562
2003-12,75.5429458618164
2004-01,77.40042114257812
2004-02,78.45079803466797
2004-03,77.14122009277344
2004-04,75.94692993164062
2004-05,77.24739837646484
2004-06,78.3904037475586
2004-07,76.1417465209961
2004-08,76.32719421386719
2004-09,76.77371978759766
2004-10,78.08661651611328
2004-11,81.32186126708984
2004-12,83.62459564208984
2005-01,82.13582611083984
2005-02,83.85277557373047
2005-03,81.99681091308594
2005-04,80.776611328125
2005-05,83.37959289550781
2005-06,83.17024993896484
2005-07,86.70098876953125
2005-08,85.88819885253906
2005-09,86.21051025390625
2005-10,84.52986907958984
2005-11,88.2451400756836
2005-12,87.61186218261719
2006-01,90.19135284423828
2006-02,90.70771789550781
2006-03,91.83956909179688
2006-04,93.36947631835938
2006-05,90.55711364746094
2006-06,90.39378356933594
2006-07,91.19990539550781
2006-08,93.19013977050781
2006-09,95.287353515625
2006-10,98.72274017333984
2006-11,100.68589782714844
2006-12,101.46681213378906
2007-01,103.5667724609375
2007-02,101.53504943847656
2007-03,102.30594635009766
2007-04,107.26144409179688
2007-05,110.89974975585938
2007-06,108.80931091308594
2007-07,105.85680389404297
2007-08,107.21527099609375
2007-09,110.84017944335938
2007-10,112.87682342529297
2007-11,108.50481414794922
2007-12,106.71663665771484
2008-01,100.79655456542969
2008-02,98.19171905517578
2008-03,96.8342514038086
2008-04,101.951904296875
2008-05,103.49301147460938
2008-06,94.37147521972656
2008-07,93.99124908447266
2008-08,95.44375610351562
2008-09,85.95791625976562
2008-10,72.17417907714844
2008-11,67.15038299560547
2008-12,67.26219940185547
2009-01,62.24018096923828
2009-02,55.552547454833984
2009-03,59.75299835205078
2009-04,66.15939331054688
2009-05,70.02661895751953
2009-06,69.58769989013672
2009-07,75.20172882080078
2009-08,77.97964477539062
2009-09,80.36181640625
2009-10,79.1922607421875
2009-11,84.071044921875
2009-12,85.2181167602539
2010-01,82.56317138671875
2010-02,85.13870239257812
2010-03,89.9515151977539
2010-04,91.71920013427734
2010-05,84.43170928955078
2010-06,79.68402099609375
2010-07,85.53147888183594
2010-08,81.68423461914062
2010-09,88.52552032470703
2010-10,92.39938354492188
2010-11,92.39938354492188
2010-12,98.06080627441406
2011-01,100.87335968017578
2011-02,104.37742614746094
2011-03,103.93844604492188
2011-04,107.4132308959961
2011-05,106.20865631103516
2011-06,103.90185546875
2011-07,102.32816314697266
2011-08,96.70257568359375
2011-09,89.5262680053711
2011-10,99.81148529052734
2011-11,99.40589141845703
2011-12,99.81148529052734
2012-01,105.10260009765625
2012-02,109.66463470458984
2012-03,112.69794464111328
2012-04,112.43621826171875
2012-05,105.68375396728516
2012-06,109.40564727783203
2012-07,111.27352905273438
2012-08,114.0611343383789
2012-09,116.33171081542969
2012-10,114.82438659667969
2012-11,115.47422790527344
2012-12,115.68547821044922
2013-01,122.46988677978516
2013-02,124.0324935913086
2013-03,128.172119140625
2013-04,131.21559143066406
2013-05,134.3135223388672
2013-06,131.82369995117188
2013-07,139.36947631835938
2013-08,135.1894989013672
2013-09,138.7912139892578
2013-10,145.926025390625
2013-11,150.25091552734375
2013-12,153.31407165527344
2014-01,148.7130584716797
2014-02,155.48179626464844
2014-03,156.08274841308594
2014-04,157.8614501953125
2014-05,161.5248260498047
2014-06,164.07327270507812
2014-07,162.6441192626953
2014-08,169.06268310546875
2014-09,165.9544677734375
2014-10,170.65684509277344
2014-11,175.34519958496094
2014-12,173.9403076171875
2015-01,169.71823120117188
2015-02,179.25714111328125
2015-03,175.65774536132812
2015-04,178.17691040039062
2015-05,180.46762084960938
2015-06,175.9460906982422
2015-07,180.7957305908203
2015-08,169.77621459960938
2015-09,164.58856201171875
2015-10,179.5167999267578
2015-11,180.17300415039062
2015-12,176.0116424560547
2016-01,168.2439727783203
2016-02,168.1050262451172
2016-03,178.49215698242188
2016-04,180.119873046875
2016-05,183.18394470214844
2016-06,182.86976623535156
2016-07,190.52490234375
2016-08,190.75303649902344
2016-09,189.80538940429688
2016-10,187.45681762695312
2016-11,194.3624725341797
2016-12,197.1405487060547
2017-01,201.85107421875
2017-02,209.7821044921875
2017-03,209.13450622558594
2017-04,212.12930297851562
2017-05,215.12306213378906
2017-06,215.44381713867188
2017-07,220.94432067871094
2017-08,221.5889892578125
2017-09,224.93751525878906
2017-10,231.38058471679688
2017-11,238.45294189453125
2017-12,240.11752319335938
2018-01,254.94692993164062
2018-02,245.67691040039062
2018-03,237.9896240234375
2018-04,240.1776580810547
2018-05,246.0161590576172
2018-06,246.32489013671875
2018-07,256.59747314453125
2018-08,264.7879638671875
2018-09,265.16204833984375
2018-10,247.9555206298828
2018-11,252.55484008789062
2018-12,228.9806671142578
2019-01,248.75840759277344
2019-02,256.8221130371094
2019-03,260.32403564453125
2019-04,272.15240478515625
2019-05,254.7969512939453
2019-06,271.2082214355469
2019-07,276.6477966308594
2019-08,272.0157470703125
2019-09,276.0339660644531
2019-10,283.43841552734375
2019-11,293.6984558105469
2019-12,300.75335693359375
2020-01,302.1098937988281
2020-02,278.193115234375
2020-03,242.03160095214844
2020-04,274.3695983886719
2020-05,287.4420471191406
2020-06,291.2579345703125
2020-07,309.7679443359375
2020-08,331.388671875
2020-09,317.7084655761719
2020-10,311.0269775390625
2020-11,344.8594665527344
2020-12,356.11798095703125
2021-01,353.9915771484375
2021-02,363.83447265625
2021-03,379.1105651855469
2021-04,400.47686767578125
2021-05,403.1064758300781
2021-06,410.8031005859375
2021-07,422.2086486816406
2021-08,434.7734375
2021-09,413.1869812011719
2021-10,443.59417724609375
2021-11,440.02996826171875
2021-12,458.7686462402344
2022-01,436.099365234375
2022-02,423.2270202636719
2022-03,437.7762756347656
2022-04,400.5937194824219
2022-05,401.4979553222656
2022-06,366.8057556152344
2022-07,402.31439208984375
2022-08,385.899169921875
2022-09,348.7915954589844
2022-10,378.6890563964844
2022-11,399.740966796875
2022-12,374.982666015625
2023-01,400.3945617675781
2023-02,390.32757568359375
2023-03,403.260986328125
2023-04,411.2666931152344
2023-05,413.1651916503906
2023-06,438.31005859375
2023-07,454.3388366699219
2023-08,446.9549255371094
2023-09,424.25732421875
2023-10,416.51129150390625
2023-11,454.5570373535156
2023-12,473.39068603515625
2024-01,482.8800048828125
2024-02,501.20001220703125
